º½°à±àºÅ,id
CA1303,1037
CA1873,1456
PN6328,8085
3U8510,127
3U8893,351
CA4413,1708
CZ3495,2182
CZ325Q,2076
SC4902,8484
MU2787,6650
MU5156,6898
MU2816,6664
CA4325,1661
CZ6279,2658
MU2493,6490
SC4798,8430
3U8387,99
QW9795,8151
ZH9438,9012
ZH9820,9266
MU5483,7193
CA1505,1176
CA1596,1258
MU5292,6989
FM9538,3920
MU2453,6463
CA1621,1272
HO1082,4483
MU2711,6597
MU5294,6991
CZ6424,2796
HU7278,4848
CA4153,1580
MF8048,5718
9C8803,715
ZH9762,9217
CA1710,1326
MU2200,6381
SC1190,8226
ZH9956,9409
PN6371,8115
HO1201,4583
SC8812,8634
MF8403,6055
SC4935,8501
SC4937,8503
MU2020,6348
CZ633Y,2724
CA1731,1339
PN6372,8116
MF8311,5975
SC4762,8393
3U8881,337
FM9328,3808
CA1803,1394
ZH9420,8990
9C8801,713
9C8996,877
CZ6147,2524
MU2760,6630
MU272,6607
ZH9892,9340
MF8535,6191
DZ6265,3565
KY8276,5638
FU6577,4008
MU5196,6932
MU5385,7084
EU2217,3608
PN6334,8093
HO1152,4544
FM9127,3708
CZ6751,3058
3U8366,93
CZ6761,3073
MF8431,6082
MU5515,7230
SC4669,8307
3U8849,310
CA1689,1310
CZ6505,2889
CZ6278,2656
3U8891,349
MF8393,6044
GJ8753,4210
SC4755,8384
ZH9330,8952
MU582V,7508
HU7693,5030
MU5126,6862
CZ3981,2453
CA1253,1008
3U8542,154
MF8563,6222
CZ3565,2218
CA4157,1582
HU7779,5126
3U8702,211
CZ3642,2285
KY8205,5592
FU6530,3984
CZ6899,3107
MU5523,7241
KN2318,5551
CZ3491,2180
FM9327,3807
CZ6106,2498
CZ3597,2261
CA1822,1414
MU5499,7214
ZH9427,8997
CZ6115,2506
NS3233,7805
ZH9989,9433
GS6437,4264
CZ3837,2364
PN6311,8066
SC4646,8276
CZ6931,3168
MU2477,6482
ZH9972,9419
CZ3265,2084
MF8206,5894
CA1857,1442
ZH9959,9410
TV9811,8697
ZH9722,9172
3U8963,399
G52707,4117
ZH9851,9296
MU2507,6504
ZH9753,9208
CA932,1862
MU5708,7428
KN2316,5549
SC4815,8448
MF8253,5931
9C8864,770
CA1832,1419
MU5511,7226
CZ3356,2105
CA4143,1569
DZ6257,3557
CZ6204,2587
CZ3828,2355
MU5607,7335
FM9321,3801
JD5577,5441
FM9390,3871
SC4764,8395
CA1383,1104
SC4601,8246
3U8845,306
HU7175,4768
PN6214,7965
CA1520,1193
MF8319,5982
KY8234,5615
CZ6256,2636
HU7745,5084
MU5603,7333
3U8202,35
SC1193,8229
CZ8423,3352
CA1576,1244
CA1398,1110
9C8734,685
CZ6268,2649
9C8581,634
FM9183,3744
OQ2377,7936
MU5496,7211
PN6246,7994
MU2452,6462
MU5183,6924
CA4192,1616
SC4670,8311
TV9822,8703
CA1893,1474
CZ6369,2749
ZH9866,9314
MF8401,6053
CZ6518,2907
CZ6940,3184
FM9422,3880
CA1808,1397
CA1266,1015
HO1266,4632
HU7647,5000
MU2407,6441
MU5333,7015
MU5541,7262
HU7610,4982
SC4821,8457
MU2835,6678
SC1192,8228
EU6678,3664
MU5519,7234
MU5513,7228
ZH9253,8913
SC4838,8465
MU5436,7154
HO1155,4547
CZ698X,3248
CA1741,1352
MU2718,6602
SC4710,8344
CZ3475,2170
9C8775,697
CA1595,1257
MF8461,6105
FM9345,3824
MF8068,5745
PN6318,8073
MF8441,6089
HU7749,5087
MF8312,5976
9C8985,868
HO1191,4568
ZH9721,9171
MU2371,6424
MF8062,5739
MU5403,7107
CA1550,1216
3U8832,289
3U8887,343
MF8372,6025
CZ6201,2583
MU2527,6530
OQ2320,7903
OQ2334,7915
CZ6709,3036
CA1640,1293
CN7149,1964
3U8514,129
CZ6606,2982
HU7830,5174
CA8206,1815
CA1425,1128
ZH9918,9374
MF8153,5828
9C8807,719
MF8210,5898
CZ3453,2146
CZ6645,3000
CA1602,1261
MU5690,7415
SC4659,8290
CA4113,1540
HU7785,5130
Y87501,8790
MU2035,6350
9C8976,860
CZ6260,2645
NS3218,7788
HU7759,5102
EU2228,3615
CA4182,1610
MU5760,7458
CZ3903,2389
SC1152,8183
CA1307,1041
HU7886,5196
CA4514,1736
PN6230,7986
3U8543,155
EU2712,3639
HO1177,4556
MF8390,6043
ZH9279,8921
HU7353,4906
ZH9497,9055
8L9615,444
HU7057,4713
QW9772,8129
HU7162,4762
SC4612,8259
CZ6513,2901
MU2892,6739
3U8829,286
JR1509,5511
MU5495,7210
CA1736,1344
CA1146,986
SC4632,8263
CZ3282,2089
CZ6714,3043
3U8799,268
MU5533,7254
GS7570,4412
CZ3645,2286
CZ3366,2116
ZH9329,8950
MU5379,7077
HU7168,4766
MF8359,6009
MU2483,6485
MU5510,7225
ZH9995,9438
HU7891,5204
3U8706,215
MF8276,5942
3U8843,304
3U8346,89
CA1821,1413
CZ3451,2144
JR1535,5522
CZ6928,3159
GS7638,4427
SC8749,8604
CA4527,1747
MF8363,6012
CA4194,1618
CA1834,1421
MU5431,7149
CZ3556,2204
ZH9846,9289
MF8154,5829
9C8808,720
8L9985,598
9C8804,716
HU7704,5043
MF8117,5786
3U8840,301
NS3268,7837
ZH9718,9164
FM9174,3735
CZ634S,2729
SC1182,8219
MU5354,7044
FM9374,3852
JR1533,5520
ZH9901,9353
HU7177,4770
PN6257,8004
SC4775,8412
HU7065,4718
CZ6997,3255
SC8895,8681
MF8166,5841
3U8782,252
MU9632,7752
CZ6415,2786
CZ6228,2608
MU5714,7436
FM9258,3783
CZ3153,2014
GJ8887,4252
HU7257,4825
SC4695,8334
FU6578,4009
KY8282,5643
ZH9823,9269
NS3234,7806
CA1835,1422
ZH9864,9312
MU5792,7476
CZ3824,2353
9C8956,845
MU5382,7083
CA1706,1319
OQ2342,7926
ZH9927,9385
SC461X,8260
CZ6715,3044
SC1176,8207
PN6364,8112
CZ3912,2403
GS6674,4350
CZ3836,2362
3U8833,290
MU2768,6637
ZH9428,8998
MF8102,5767
PN6363,8111
GS6606,4312
3U8916,367
FM9330,3817
HU7697,5035
CZ3253,2070
CA1817,1406
8L9864,507
SC1189,8222
HO1197,4574
ZH9798,9239
3U8755,239
CZ3473,2167
MF8184,5871
HU7744,5083
CZ6412,2784
3U8402,103
FM9186,3747
9C8882,787
CA4197,1619
MU5518,7233
CZ3125,2003
CZ6217,2598
HO1050,4471
MU5558,7272
3U8892,350
CZ3288,2092
CZ3455,2148
MU5850,7533
HU7247,4817
MU5706,7426
CZ3152,2013
MU2410,6447
CZ6981,3239
MU5361,7062
3U8948,389
HU7711,5054
ZH9520,9082
3U8991,418
3U8964,400
FM9426,3884
9C880T,721
CZ6782,3079
ZH9729,9177
CZ3154,2015
3U8757,241
CA1894,1475
MU2702,6591
CA1703,1316
CZ6902,3113
MF8413,6066
MU5569,7285
SC4737,8371
3U8127,16
CZ6258,2639
G52790,4160
PN6229,7980
3U8992,419
3U8550,169
MU5856,7539
MU2767,6636
CA1367,1089
CZ3160,2026
CA4546,1766
MU5138,6878
ZH9771,9223
CA1763,1374
MU2701,6590
CZ6939,3177
CA4193,1617
3U8508,121
ZH9498,9056
MU5514,7229
HO1387,4645
HU7709,5048
MU2779,6644
CA1820,1412
MU2812,6662
SC4803,8438
CZ3552,2199
MU5613,7346
HO1167,4551
MU5114,6849
MU5152,6894
8L9880,531
MF870,6292
FM9232,3777
SC1194,8230
CZ6308,2687
PN6250,8000
CA1970,1503
MU2861,6712
CA4313,1652
MU5440,7160
HU7876,5191
CA1949,1497
KN2382,5569
FM9331,3818
CZ3359,2109
DR6539,3507
CA1759,1367
CZ3254,2071
CZ3939,2410
CA4186,1612
HO1267,4633
CA1947,1495
8L9616,445
9C8965,851
MF8044,5714
SC8811,8633
CZ3184,2037
CA1104,949
HU7712,5055
9C8934,828
CA1345,1070
ZH9150,8876
SC4767,8398
MU5572,7292
CA4272,1637
GJ8754,4211
CA4555,1774
HU7755,5100
SC4981,8548
MU2837,6680
MF8547,6201
PN6350,8105
MF8069,5746
MU2832,6677
3U8870,329
ZH9462,9027
MU2729,6612
EU2739,3648
TV9812,8698
MU2199,6379
CA4158,1583
CA1549,1211
CA985,1950
3U8844,305
SC1199,8231
CZ6926,3157
ZH9930,9392
MU5195,6931
SC4972,8541
FM9231,3776
3U8723,226
3U8231,53
HU7698,5036
FM9349,3828
SC4873,8477
CA4115,1542
CA8233,1837
CZ6411,2782
HO1246,4604
CZ6755,3062
9C8995,876
MF8047,5717
CA4348,1678
MU5481,7191
MU5298,6995
CA1625,1276
CZ3641,2282
3U8690,206
CZ6982,3240
ZH9214,8898
HU7211,4806
MU5427,7139
CZ3456,2149
CA1293,1028
8L9870,516
CZ6197,2579
SC4779,8414
OQ2358,7932
OQ2389,7945
JD5327,5346
CA1370,1096
3U8661,196
MU5350,7040
MU5566,7282
3U8885,341
PN6258,8005
3U8961,397
ZH9928,9386
3U8918,370
MU5293,6990
SC1155,8186
FM9368,3841
SC4603,8248
8L9630,457
MU5845,7525
CZ3355,2104
CA1342,1068
CZ3191,2048
ZH9519,9078
CA1521,1194
CA4321,1657
CA1760,1371
CZ6357,2734
CZ3156,2018
CZ6545,2920
MU537Z,7080
HU7678,5022
MU5296,6993
CZ6482,2862
ZH9890,9338
MU2401,6435
CZ3666,2299
MF8162,5837
EU2251,3619
CA1717,1333
MF8177,5855
SC4756,8385
GS6670,4346
MU5120,6856
MF8172,5850
JD5341,5353
HU7066,4719
MU2514,6514
MU5402,7106
FM9376,3854
CZ3561,2214
MU5567,7283
MF8161,5836
MU5463,7173
3U8795,264
SC4635,8266
MU5344,7026
CA4501,1721
JD5312,5339
CA4545,1765
SC4714,8347
GS6582,4303
SC4982,8549
MU563,7358
MF8261,5935
HU7750,5094
HU7351,4904
MU2019,6346
9C8919,816
HU7756,5101
9C8994,875
MU2859,6706
CA1716,1332
3U8529,141
MF8060,5736
KY8272,5634
ZH9811,9252
DZ6275,3578
CZ6309,2689
FM9425,3883
FU6621,4024
DR6522,3489
CA8228,1832
MU5116,6851
3U8516,131
MU5378,7076
CA4384,1696
MU5145,6883
FM9200,3758
ZH9985,9430
HU7368,4921
CZ3567,2221
CZ6103,2495
MF8445,6091
MU2805,6657
MU2985,6761
MF8405,6057
CA1557,1220
CA4123,1553
CZ6116,2507
9C8893,796
EU2218,3609
HO1196,4573
9C8582,635
MU2849,6691
JD5558,5427
CA8213,1825
MU5489,7199
DR6529,3495
CZ6175,2552
CZ6586,2961
MU2836,6679
CA1831,1418
CA4388,1698
CZ3975,2443
3U8549,161
NS3262,7833
UQ2510,8769
HO1194,4571
MU5170,6914
MF8246,5923
CZ6164,2535
CA1652,1299
MU5468,7177
MF8074,5752
JD5177,5273
FM9329,3809
CA1639,1288
CZ6312,2699
KY8322,5667
CA8215,1827
CZ6181,2560
SC4903,8485
CZ3194,2052
ZH9855,9300
MF8120,5795
MF8507,6159
CZ6934,3172
3U8995,424
3U8924,377
MF8320,5986
MU5366,7065
MF8477,6123
CA1635,1286
CZ6430,2807
3U8876,333
ZH9919,9375
QW9783,8140
MU748,7679
UQ2504,8763
CA1518,1188
JD5399,5396
CZ3560,2213
PN6251,8001
MF8169,5844
HU7395,4948
MF8238,5915
CA4117,1544
MU2543,6541
CA4312,1651
CZ6900,3110
HU7047,4703
9C8993,874
CZ6176,2553
CZ6559,2932
9C8805,717
CA4112,1539
HO1193,4570
9C8765,691
MU5169,6910
MU5107,6840
CA1709,1322
ZH9949,9402
FU6522,3979
HO1265,4631
CZ3476,2171
JD5545,5421
CA4515,1737
MF8056,5730
EU2208,3599
MU2880,6726
ZH9916,9372
CA1802,1393
MF8101,5766
CZ6109,2501
EU2210,3605
GJ8888,4253
MU5665,7394
CA1411,1122
PN6227,7978
OQ2357,7931
ZH9717,9163
CA1304,1038
ZH9813,9254
CA1405,1114
HU7746,5085
MU5130,6873
KY8268,5630
ZH9495,9053
CA1564,1230
MF8275,5941
CZ6942,3187
MU5516,7231
MU2270,6409
GX8867,4453
EU2223,3612
MU2143,6368
MF8402,6054
CZ6949,3192
CA4535,1754
CZ6259,2640
CA4330,1668
HU7167,4765
CZ3823,2352
CZ3588,2247
SC4728,8364
EU2211,3606
CZ6484,2865
CZ6257,2638
HO1107,4506
MF8429,6079
MU2995,6764
ZH9842,9285
HU7367,4920
3U8850,319
CZ3559,2207
MU5758,7455
CZ6225,2605
MU2809,6659
QW9808,8158
SC4837,8464
CA8234,1838
CZ6303,2681
SC4960,8530
CZ6629,2993
SC4761,8392
CZ3693,2309
HU7703,5042
MU2691,6587
CA4343,1673
MU5599,7324
CZ3926,2408
CA4540,1760
SC4975,8542
MU2878,6722
3U8689,204
HU7388,4939
CZ3448,2142
MU2692,6588
FM9181,3742
CA4119,1546
CA1341,1067
CA4142,1568
CZ6218,2599
NS3269,7838
CA1111,956
SC4962,8532
CA8207,1816
MU5524,7242
ZH9493,9051
CZ3974,2441
CZ6752,3059
CZ6038,2487
MU5846,7526
MU5415,7119
3U8884,340
HU7192,4788
CZ6277,2655
3U8554,171
HO1074,4477
CZ6358,2735
MU2441,6458
MU5517,7232
MU5598,7323
FM9107,3698
JD5376,5375
3U8811,275
MU2454,6464
HU7275,4845
HU7145,4748
MU5124,6860
CA158,1248
HU7196,4792
CZ3471,2165
JR1536,5523
CZ6927,3158
MU564,7370
EU2227,3614
HO1202,4584
MU2404,6438
JR1510,5513
OQ2321,7904
MU2845,6689
ZH9236,8905
KY8257,5622
TV9891,8732
HU7291,4863
CZ3544,2193
CA1818,1407
ZH9471,9038
NS3311,7868
MU5762,7460
GS6607,4314
CA1112,957
CA4110,1537
CZ3978,2446
MF852,6173
CZ6646,3001
MF8559,6216
CA4569,1784
ZH9885,9333
SC4723,8359
CA4108,1533
CZ3260,2081
MU5654,7383
CZ3575,2232
PN6312,8068
MF8527,6182
MU2513,6513
MU5359,7049
CA1116,959
MU2402,6436
OQ2309,7893
HU7147,4750
CZ6207,2588
MU2451,6461
MU5423,7135
HO1099,4496
MU5233,6951
CZ6431,2809
CZ6950,3199
CA1836,1423
ZH9301,8936
CZ3554,2202
EU2209,3600
HU7348,4898
MU5236,6954
PN6266,8015
MU5428,7140
CZ6972,3223
MU5485,7195
ZH9456,9023
EU2212,3607
3U8648,194
SC1167,8199
SC4704,8339
MF8317,5980
OQ2319,7898
SC1151,8182
SC4959,8525
JD5185,5278
MF8135,5808
MF8508,6160
CZ3042,1985
MU5971,7580
HO1286,4641
8L9966,584
9C8937,830
CA1804,1395
MU5105,6838
9C8766,692
HO1119,4518
OQ2308,7892
CZ3360,2112
HU7834,5178
CZ8261,3325
CA1502,1173
ZH9854,9299
CA1563,1229
CA1477,1158
CA4503,1723
SC1156,8187
CA1525,1196
8L9862,504
SC4796,8428
CA1103,948
CZ6519,2908
ZH9302,8937
MU2363,6420
MU5123,6859
G52773,4150
CA4587,1792
SC4681,8318
SC4787,8419
MU5405,7109
SC4768,8399
3U8784,254
MU2332,6417
MU744,7672
3U8716,222
HU7207,4800
SC1178,8209
CZ6184,2563
CZ3155,2016
DR6536,3505
HU7605,4974
CZ3159,2021
NS3267,7836
MF8245,5922
CA1135,975
CZ3472,2166
FM9380,3865
CZ3579,2237
SC8735,8591
CZ6799,3090
HU7771,5122
DR6532,3501
SC4652,8283
HU7345,4895
SC4602,8247
QW9807,8157
HU7789,5135
CA4512,1734
MF8452,6100
HU7707,5046
MU5812,7492
MF8424,6075
GJ8737,4204
3U8875,332
HO1652,4653
CA1226,996
BK2846,930
CN7128,1959
CZ3247,2062
CA8933,1855
CZ6756,3063
HU7832,5176
CA1845,1432
CA1601,1260
JD5520,5405
9C8953,842
MF8115,5784
MU5155,6897
HU7833,5177
MU2866,6715
9C8888,790
JD5153,5261
3U8244,59
3U8783,253
CA4536,1755
HO1070,4475
MF8109,5774
CZ3797,2343
HO1105,4504
CA4344,1674
HU7292,4864
PN6204,7956
CZ3137,2006
HU7677,5021
FM9182,3743
PN6215,7966
NS3306,7861
TV9882,8729
MF8407,6059
CA4176,1603
3U8890,348
CA1746,1357
CZ6198,2580
CA4504,1724
TV9881,8728
MF8404,6056
CZ6932,3169
CZ3977,2445
CZ3783,2341
FM9423,3881
MU2841,6687
MF8432,6083
MU2408,6442
FU6585,4010
9C8815,730
HU7058,4714
CZ6105,2497
CA4137,1563
MU5664,7393
MU5579,7299
HU7826,5163
MU5158,6900
HU7295,4867
CA4177,1604
CZ6933,3171
9C8849,757
BK2769,921
CZ3694,2310
HO1178,4557
CA4390,1705
ZH9964,9414
SC4715,8348
MF8318,5981
FM9324,3804
MF8502,6155
MU2497,6494
CZ6202,2584
MU2495,6492
MU5353,7043
CZ6367,2747
CZ3151,2012
MU5254,6964
MU5534,7255
MU5824,7503
MU518,6922
FM9325,3805
CZ6973,3225
ZH9819,9260
CZ3190,2046
SC8778,8621
MU592,7565
HO1065,4472
MU5153,6895
CA4104,1529
HO1183,4563
CZ6432,2810
MU5432,7150
HO1221,4588
MU2667,6580
CA1571,1241
PN6247,7996
PN6249,7998
FM9220,3766
MU5500,7218
MF8375,6026
CA1409,1118
MU5522,7240
SC4645,8275
MF8262,5936
CA931,1861
FM9527,3911
MU5404,7108
3U8923,376
CA4541,1761
KN2375,5563
HO1182,4562
MU5137,6877
MF8307,5967
CZ3365,2114
MU5343,7025
9C8869,775
JD5784,5502
MF8345,5997
HO1180,4560
OQ2322,7905
HU7752,5097
MU2865,6714
MF8485,6134
HO1247,4605
HU731Y,4882
MU5844,7524
CA1872,1455
MU5369,7066
CZ6442,2826
HU7311,4878
CZ6286,2663
MF8029,5699
MU2456,6466
MF8505,6156
CZ3193,2051
FM9377,3855
SC4769,8400
HU7095,4730
CA1311,1047
MU5108,6841
CA1622,1273
SC4716,8349
MU5802,7479
CA1509,1180
CZ6208,2589
HO1268,4634
CZ6574,2950
G52767,4148
GJ8768,4217
MU5497,7212
CZ6102,2494
SC4751,8382
ZH9767,9218
MF8522,6176
CA1102,947
3U8304,76
CZ3555,2203
CZ6240,2624
MF8541,6196
CZ3951,2421
HU7080,4725
FU6590,4015
3U8232,54
CZ6308A,2688
8L9869,512
MU5253,6963
HO1285,4640
MU5459,7170
8L9629,455
MU5789,7471
CZ3745,2333
MF8156,5831
FM9199,3756
MF847,6114
SC4970,8539
CA1295,1030
FM9381,3866
ZH9421,8991
HO1198,4575
CA8205,1814
CZ6901,3112
CA4389,1699
MU5584,7306
CZ3948,2416
CA1888,1466
CZ3441,2138
MU2877,6721
HU6053,4679
CZ3656,2292
CZ3904,2390
JD5311,5338
MU5433,7151
MU2531,6535
FM9221,3767
JD5546,5422
MU2818,6666
ZH9608,9118
MF8123,5797
CZ3458,2151
HU7887,5197
CA4324,1660
SC1154,8185
CZ6451,2830
HU7787,5132
9C8806,718
8L9986,599
3U8548,160
HU7326,4884
CA1137,977
CA8227,1831
MF8046,5716
SC4752,8383
MF8376,6027
HU7148,4751
CA1117,960
9C8881,786
9C8975,859
HU7392,4947
G52740,4138
NS3244,7818
SC4727,8363
JD5798,5507
CA1604,1263
FM9222,3768
9C8613,657
MF8371,6024
CA1886,1464
MU5426,7138
FM9295,3793
MF8024,5694
NS3226,7800
CA1368,1090
MU5498,7213
HU7280,4854
SC4661,8299
HO1222,4589
PN6211,7962
CZ3639,2278
CZ3433,2130
CZ6304,2683
CA157,1239
3U8985,415
CZ6192,2574
CZ6664,3016
CZ6226,2606
CZ6251,2633
SC8746,8601
CZ3553,2201
GS6673,4349
MU5172,6916
MU5814,7494
ZH9865,9313
ZH9785,9228
3U8647,193
CA4114,1541
CZ6797,3086
ZH9726,9174
MU5335,7017
MU2243,6396
MF8492,6144
MU5109,6842
CA1507,1178
8L9619,447
ZH9915,9371
MU5115,6850
KY8216,5600
EU6677,3663
HO1168,4552
CZ3982,2454
SC4758,8387
SC4971,8540
CZ6510,2900
KY8203,5590
MU2881,6727
MU5631,7360
3U8670,201
MU5430,7148
MU286T,6718
MF8025,5695
3U8759,243
QW9784,8141
CA1292,1027
CZ6710,3038
FM9323,3803
KY8296,5654
ZH9472,9039
CA1331,1058
HU7660,5007
MF8428,6078
SC4939,8505
FU6520,3977
MU5959,7572
MU5424,7136
PN6220,7972
MU5103,6836
PN6248,7997
HO1130,4532
ZH9860,9310
MU5357,7047
MU5380,7081
JD5369,5371
ZH9815,9256
MF8536,6192
MU5841,7521
3U8900,362
CA1306,1040
CZ6490,2872
HO1357,4643
KY8284,5645
CA1972,1505
ZH9931,9393
MU5614,7347
ZH9807,9246
EU2759,3654
NS3242,7816
MU5077,6827
PN6213,7964
JD5627,5457
FM9364,3839
MU2860,6711
CZ3442,2139
CA4314,1653
FM9157,3720
MU5746,7452
HU7279,4849
MF8167,5842
CZ6159,2527
MU5295,6992
MU517,6913
CA4105,1530
ZH9435,9009
CZ6471,2844
HO1388,4646
HO1255,4617
SC4757,8386
HU7780,5129
MF8105,5770
CZ6718,3048
MU2652,6571
CZ3907,2392
ZH9468,9031
SC4663,8301
8L9866,509
CA4347,1677
JR1534,5521
CZ3963,2430
CA1553,1218
ZH9801,9243
3U8839,296
FM9404,3875
HU7875,5190
CA1313,1049
MU2882,6728
MF8254,5932
CA1833,1420
NS3219,7789
ZH9772,9224
MU2503,6500
MU5336,7018
LH784,5677
MU5104,6837
CZ6220,2603
CA1326,1053
MU5580,7304
3U8919,371
PN6333,8092
