YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,2,5,US,2020,N171US,PHX,CLT,15,22.0,7.0,15.0,37.0,225.0,217.0,194.0,1773,551.0,8.0,600,559.0,-1.0,0,0,,,,,,
2015,1,2,5,US,840,N172US,SFO,CLT,20,28.0,8.0,13.0,41.0,286.0,290.0,265.0,2296,806.0,12.0,806,818.0,12.0,0,0,,,,,,
2015,1,2,5,AS,135,N464AS,SEA,ANC,25,30.0,5.0,13.0,43.0,235.0,221.0,204.0,1448,307.0,4.0,320,311.0,-9.0,0,0,,,,,,
2015,1,2,5,NK,612,N615NK,LAS,MSP,25,204.0,99.0,11.0,215.0,181.0,180.0,160.0,1299,655.0,9.0,526,704.0,98.0,0,0,,98.0,0.0,0.0,0.0,0.0
2015,1,2,5,US,1925,N915US,DFW,CLT,500,457.0,-3.0,24.0,521.0,145.0,142.0,107.0,936,808.0,11.0,825,819.0,-6.0,0,0,,,,,,
2015,1,2,5,HA,102,N493HA,HNL,ITO,500,454.0,-6.0,13.0,507.0,49.0,56.0,37.0,216,544.0,6.0,549,550.0,1.0,0,0,,,,,,
2015,1,2,5,US,803,N723UW,IAH,CLT,515,509.0,-6.0,14.0,523.0,139.0,132.0,109.0,912,812.0,9.0,834,821.0,-13.0,0,0,,,,,,
2015,1,2,5,US,1837,N817AW,BWI,CLT,515,510.0,-5.0,12.0,522.0,85.0,81.0,62.0,361,624.0,7.0,640,631.0,-9.0,0,0,,,,,,
2015,1,2,5,B6,2023,N358JB,JFK,SJU,535,527.0,-8.0,15.0,542.0,225.0,207.0,187.0,1598,949.0,5.0,1020,954.0,-26.0,0,0,,,,,,
2015,1,2,5,EV,6101,N13550,ATL,IAD,540,546.0,6.0,16.0,602.0,105.0,106.0,77.0,534,719.0,13.0,725,732.0,7.0,0,0,,,,,,
2015,1,2,5,WN,1844,N8624J,MDW,DEN,545,544.0,-1.0,13.0,557.0,175.0,155.0,134.0,895,711.0,8.0,740,719.0,-21.0,0,0,,,,,,
2015,1,2,5,WN,1817,N385SW,MHT,BWI,555,557.0,2.0,11.0,608.0,105.0,95.0,81.0,377,729.0,3.0,740,732.0,-8.0,0,0,,,,,,
2015,1,2,5,AA,196,N3DFAA,MIA,PHL,600,604.0,4.0,30.0,634.0,164.0,181.0,146.0,1013,900.0,5.0,844,905.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0
2015,1,3,6,AA,2400,N5DKAA,LAX,DFW,5,5.0,0.0,23.0,28.0,170.0,174.0,148.0,1235,456.0,3.0,455,459.0,4.0,0,0,,,,,,
2015,1,3,6,US,580,N117UW,SLC,PHL,10,16.0,6.0,18.0,34.0,244.0,236.0,212.0,1927,606.0,6.0,614,612.0,-2.0,0,0,,,,,,
2015,1,3,6,US,2020,N155UW,PHX,CLT,15,13.0,-2.0,13.0,26.0,225.0,224.0,203.0,1773,549.0,8.0,600,557.0,-3.0,0,0,,,,,,
2015,1,3,6,US,840,N566UW,SFO,CLT,20,11.0,-9.0,14.0,25.0,286.0,308.0,283.0,2296,808.0,11.0,806,819.0,13.0,0,0,,,,,,
2015,1,3,6,AS,135,N516AS,SEA,ANC,25,24.0,-1.0,11.0,35.0,235.0,230.0,215.0,1448,310.0,4.0,320,314.0,-6.0,0,0,,,,,,
2015,1,3,6,NK,612,N634NK,LAS,MSP,25,48.0,23.0,13.0,101.0,181.0,176.0,156.0,1299,537.0,7.0,526,544.0,18.0,0,0,,18.0,0.0,0.0,0.0,0.0
2015,1,3,6,HA,102,N491HA,HNL,ITO,500,455.0,-5.0,11.0,506.0,49.0,55.0,38.0,216,544.0,6.0,549,550.0,1.0,0,0,,,,,,
2015,1,3,6,US,1879,N755US,BWI,CLT,515,507.0,-8.0,13.0,520.0,85.0,82.0,64.0,361,624.0,5.0,640,629.0,-11.0,0,0,,,,,,
2015,1,3,6,US,1904,N713UW,IAH,CLT,515,507.0,-8.0,12.0,519.0,139.0,137.0,117.0,912,816.0,8.0,834,824.0,-10.0,0,0,,,,,,
2015,1,3,6,US,1910,N914UY,DFW,CLT,515,507.0,-8.0,11.0,518.0,145.0,136.0,116.0,936,814.0,9.0,840,823.0,-17.0,0,0,,,,,,
2015,1,3,6,B6,2023,N294JB,JFK,SJU,535,532.0,-3.0,17.0,549.0,225.0,211.0,188.0,1598,957.0,6.0,1020,1003.0,-17.0,0,0,,,,,,
2015,1,3,6,EV,4309,N15572,ATL,IAD,540,538.0,-2.0,10.0,548.0,105.0,102.0,84.0,534,712.0,8.0,725,720.0,-5.0,0,0,,,,,,
2015,1,3,6,WN,1844,N8325D,MDW,DEN,545,543.0,-2.0,34.0,617.0,175.0,196.0,136.0,895,733.0,26.0,740,759.0,19.0,0,0,,19.0,0.0,0.0,0.0,0.0
2015,1,3,6,WN,4705,N7721E,MHT,BWI,545,541.0,-4.0,7.0,548.0,105.0,89.0,78.0,377,706.0,4.0,730,710.0,-20.0,0,0,,,,,,
2015,1,3,6,UA,471,N465UA,MIA,EWR,555,554.0,-1.0,9.0,603.0,181.0,156.0,138.0,1085,821.0,9.0,856,830.0,-26.0,0,0,,,,,,
2015,1,4,7,AA,2400,N630AA,LAX,DFW,5,2.0,-3.0,17.0,19.0,170.0,171.0,150.0,1235,449.0,4.0,455,453.0,-2.0,0,0,,,,,,
2015,1,4,7,US,2020,N152UW,PHX,CLT,15,19.0,4.0,14.0,33.0,225.0,220.0,201.0,1773,554.0,5.0,600,559.0,-1.0,0,0,,,,,,
2015,1,4,7,US,840,N172US,SFO,CLT,20,12.0,-8.0,14.0,26.0,286.0,283.0,254.0,2296,740.0,15.0,806,755.0,-11.0,0,0,,,,,,
2015,1,4,7,US,580,N826AW,SLC,PHL,25,27.0,2.0,17.0,44.0,244.0,242.0,217.0,1927,621.0,8.0,629,629.0,0.0,0,0,,,,,,
2015,1,4,7,AS,135,N419AS,SEA,ANC,25,26.0,1.0,11.0,37.0,235.0,211.0,196.0,1448,253.0,4.0,320,257.0,-23.0,0,0,,,,,,
2015,1,4,7,NK,612,N615NK,LAS,MSP,25,37.0,12.0,15.0,52.0,181.0,181.0,159.0,1299,531.0,7.0,526,538.0,12.0,0,0,,,,,,
2015,1,4,7,US,1982,N199UW,DFW,CLT,500,457.0,-3.0,11.0,508.0,145.0,134.0,110.0,936,758.0,13.0,825,811.0,-14.0,0,0,,,,,,
2015,1,4,7,HA,206,N488HA,HNL,OGG,505,457.0,-8.0,17.0,514.0,36.0,41.0,19.0,100,533.0,5.0,541,538.0,-3.0,0,0,,,,,,
2015,1,4,7,US,1946,N184US,IAH,CLT,515,515.0,0.0,16.0,531.0,139.0,142.0,115.0,912,826.0,11.0,834,837.0,3.0,0,0,,,,,,
2015,1,4,7,B6,2023,N346JB,JFK,SJU,535,530.0,-5.0,11.0,541.0,225.0,203.0,188.0,1598,949.0,4.0,1020,953.0,-27.0,0,0,,,,,,
2015,1,4,7,WN,1195,N278WN,MDW,MCO,540,539.0,-1.0,38.0,617.0,155.0,186.0,141.0,990,938.0,7.0,915,945.0,30.0,0,0,,30.0,0.0,0.0,0.0,0.0
2015,1,4,7,EV,3257,N33182,ATL,IAD,540,603.0,23.0,15.0,618.0,105.0,107.0,82.0,534,740.0,10.0,725,750.0,25.0,0,0,,25.0,0.0,0.0,0.0,0.0
2015,1,4,7,WN,1905,N707SA,MHT,BWI,545,556.0,11.0,26.0,622.0,105.0,107.0,77.0,377,739.0,4.0,730,743.0,13.0,0,0,,,,,,
2015,1,4,7,UA,1042,N16709,MIA,EWR,600,623.0,23.0,12.0,635.0,182.0,160.0,134.0,1085,849.0,14.0,902,903.0,1.0,0,0,,,,,,
2015,1,4,7,UA,1689,N87527,BWI,SFO,600,558.0,-2.0,12.0,610.0,365.0,363.0,338.0,2457,848.0,13.0,905,901.0,-4.0,0,0,,,,,,
2015,1,5,1,UA,203,N415UA,LAS,IAH,5,57.0,52.0,19.0,116.0,173.0,167.0,142.0,1222,538.0,6.0,458,544.0,46.0,0,0,,0.0,0.0,0.0,42.0,4.0
2015,1,5,1,AA,2400,N5CGAA,LAX,DFW,5,36.0,31.0,31.0,107.0,170.0,185.0,151.0,1235,538.0,3.0,455,541.0,46.0,0,0,,15.0,0.0,31.0,0.0,0.0
2015,1,5,1,US,580,N103US,SLC,PHL,10,14.0,4.0,12.0,26.0,244.0,224.0,210.0,1927,556.0,2.0,614,558.0,-16.0,0,0,,,,,,
2015,1,5,1,US,2020,N538UW,PHX,CLT,15,12.0,-3.0,18.0,30.0,225.0,222.0,199.0,1773,549.0,5.0,600,554.0,-6.0,0,0,,,,,,
2015,1,5,1,US,840,N178US,SFO,CLT,20,35.0,15.0,14.0,49.0,286.0,283.0,260.0,2296,809.0,9.0,806,818.0,12.0,0,0,,,,,,
2015,1,5,1,AS,135,N433AS,SEA,ANC,25,51.0,26.0,10.0,101.0,235.0,223.0,209.0,1448,330.0,4.0,320,334.0,14.0,0,0,,,,,,
2015,1,5,1,US,1925,N187US,DFW,CLT,500,506.0,6.0,13.0,519.0,145.0,130.0,108.0,936,807.0,9.0,825,816.0,-9.0,0,0,,,,,,
2015,1,5,1,HA,102,N480HA,HNL,ITO,500,453.0,-7.0,10.0,503.0,49.0,51.0,36.0,216,539.0,5.0,549,544.0,-5.0,0,0,,,,,,
2015,1,5,1,US,803,N705UW,IAH,CLT,515,509.0,-6.0,11.0,520.0,139.0,122.0,104.0,912,804.0,7.0,834,811.0,-23.0,0,0,,,,,,
2015,1,5,1,US,1837,N819AW,BWI,CLT,515,508.0,-7.0,12.0,520.0,85.0,97.0,67.0,361,627.0,18.0,640,645.0,5.0,0,0,,,,,,
2015,1,5,1,B6,2023,N216JB,JFK,SJU,535,535.0,0.0,23.0,558.0,225.0,224.0,198.0,1598,1016.0,3.0,1020,1019.0,-1.0,0,0,,,,,,
2015,1,5,1,EV,3257,N14542,ATL,IAD,540,622.0,42.0,14.0,636.0,105.0,92.0,70.0,534,746.0,8.0,725,754.0,29.0,0,0,,0.0,0.0,29.0,0.0,0.0
2015,1,5,1,WN,1844,N8319F,MDW,DEN,545,544.0,-1.0,17.0,601.0,175.0,164.0,135.0,895,716.0,12.0,740,728.0,-12.0,0,0,,,,,,
2015,1,5,1,WN,438,N7734H,MHT,BWI,555,551.0,-4.0,18.0,609.0,105.0,108.0,86.0,377,735.0,4.0,740,739.0,-1.0,0,0,,,,,,
2015,1,5,1,AA,196,N3HCAA,MIA,PHL,600,635.0,35.0,17.0,652.0,164.0,149.0,129.0,1013,901.0,3.0,844,904.0,20.0,0,0,,0.0,0.0,20.0,0.0,0.0
2015,1,6,2,AA,2400,N3ENAA,LAX,DFW,5,5.0,0.0,20.0,25.0,169.0,182.0,157.0,1235,502.0,5.0,454,507.0,13.0,0,0,,,,,,
2015,1,6,2,US,2020,N289AY,PHX,CLT,15,12.0,-3.0,17.0,29.0,214.0,232.0,199.0,1773,548.0,16.0,549,604.0,15.0,0,0,,15.0,0.0,0.0,0.0,0.0
2015,1,6,2,AS,135,N435AS,SEA,ANC,25,23.0,-2.0,18.0,41.0,235.0,213.0,191.0,1448,252.0,4.0,320,256.0,-24.0,0,0,,,,,,
2015,1,6,2,NK,612,N614NK,LAS,MSP,25,154.0,89.0,10.0,204.0,181.0,174.0,157.0,1299,641.0,7.0,526,648.0,82.0,0,0,,82.0,0.0,0.0,0.0,0.0
2015,1,6,2,US,448,N194UW,SLC,CLT,30,30.0,0.0,16.0,46.0,225.0,213.0,189.0,1727,555.0,8.0,615,603.0,-12.0,0,0,,,,,,
2015,1,6,2,AA,1112,N3DLAA,SFO,DFW,30,22.0,-8.0,18.0,40.0,189.0,200.0,177.0,1464,537.0,5.0,539,542.0,3.0,0,0,,,,,,
2015,1,6,2,HA,102,N492HA,HNL,ITO,500,457.0,-3.0,11.0,508.0,49.0,51.0,35.0,216,543.0,5.0,549,548.0,-1.0,0,0,,,,,,
2015,1,6,2,US,1982,N155UW,DFW,CLT,505,516.0,11.0,34.0,550.0,143.0,157.0,114.0,936,844.0,9.0,828,853.0,25.0,0,0,,14.0,0.0,11.0,0.0,0.0
2015,1,6,2,US,1801,N722US,IAH,CLT,515,511.0,-4.0,21.0,532.0,139.0,145.0,116.0,912,828.0,8.0,834,836.0,2.0,0,0,,,,,,
2015,1,6,2,US,1837,N821AW,BWI,CLT,515,510.0,-5.0,32.0,542.0,89.0,104.0,66.0,361,648.0,6.0,644,654.0,10.0,0,0,,,,,,
2015,1,6,2,WN,23,N684WN,MDW,DCA,535,,,,,110.0,,,601,,,825,,,0,1,B,,,,,
2015,1,6,2,WN,2513,N8631A,MHT,BWI,545,542.0,-3.0,9.0,551.0,115.0,100.0,84.0,377,715.0,7.0,740,722.0,-18.0,0,0,,,,,,
2015,1,6,2,AA,2299,N3HNAA,JFK,MIA,545,541.0,-4.0,18.0,559.0,189.0,188.0,162.0,1089,841.0,8.0,854,849.0,-5.0,0,0,,,,,,
2015,1,6,2,US,658,N186US,ATL,CLT,550,547.0,-3.0,15.0,602.0,66.0,56.0,36.0,226,638.0,5.0,656,643.0,-13.0,0,0,,,,,,
2015,1,6,2,AA,196,N3DDAA,MIA,PHL,600,632.0,32.0,15.0,647.0,162.0,167.0,140.0,1013,907.0,12.0,842,919.0,37.0,0,0,,5.0,0.0,32.0,0.0,0.0
2015,1,7,3,AA,2400,N3ETAA,LAX,DFW,5,5.0,0.0,13.0,18.0,169.0,169.0,152.0,1235,450.0,4.0,454,454.0,0.0,0,0,,,,,,
2015,1,7,3,US,2020,N561UW,PHX,CLT,15,10.0,-5.0,13.0,23.0,225.0,215.0,196.0,1773,539.0,6.0,600,545.0,-15.0,0,0,,,,,,
2015,1,7,3,AS,135,N403AS,SEA,ANC,25,30.0,5.0,13.0,43.0,235.0,200.0,183.0,1448,246.0,4.0,320,250.0,-30.0,0,0,,,,,,
2015,1,7,3,NK,612,N635NK,LAS,MSP,25,158.0,93.0,12.0,210.0,181.0,182.0,164.0,1299,654.0,6.0,526,700.0,94.0,0,0,,94.0,0.0,0.0,0.0,0.0
2015,1,7,3,US,448,N163US,SLC,CLT,30,33.0,3.0,51.0,124.0,225.0,233.0,176.0,1727,620.0,6.0,615,626.0,11.0,0,0,,,,,,
2015,1,7,3,AA,1112,N3DWAA,SFO,DFW,30,39.0,9.0,12.0,51.0,189.0,200.0,183.0,1464,554.0,5.0,539,559.0,20.0,0,0,,11.0,0.0,0.0,9.0,0.0
2015,1,7,3,HA,102,N475HA,HNL,ITO,500,453.0,-7.0,10.0,503.0,49.0,48.0,33.0,216,536.0,5.0,549,541.0,-8.0,0,0,,,,,,
2015,1,7,3,US,1982,N542UW,DFW,CLT,505,505.0,0.0,10.0,515.0,143.0,159.0,139.0,936,834.0,10.0,828,844.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
2015,1,7,3,US,1801,N713UW,IAH,CLT,515,503.0,-12.0,11.0,514.0,139.0,136.0,111.0,912,805.0,14.0,834,819.0,-15.0,0,0,,,,,,
2015,1,7,3,US,1837,N802AW,BWI,CLT,515,507.0,-8.0,29.0,536.0,89.0,102.0,69.0,361,645.0,4.0,644,649.0,5.0,0,0,,,,,,
2015,1,7,3,WN,23,N205WN,MDW,DCA,535,540.0,5.0,18.0,558.0,110.0,100.0,76.0,601,814.0,6.0,825,820.0,-5.0,0,0,,,,,,
2015,1,7,3,WN,2513,N8302F,MHT,BWI,545,541.0,-4.0,15.0,556.0,115.0,104.0,83.0,377,719.0,6.0,740,725.0,-15.0,0,0,,,,,,
2015,1,7,3,AA,2299,N3HAAA,JFK,MIA,545,544.0,-1.0,16.0,600.0,189.0,181.0,159.0,1089,839.0,6.0,854,845.0,-9.0,0,0,,,,,,
2015,1,7,3,US,658,N534UW,ATL,CLT,550,545.0,-5.0,15.0,600.0,66.0,57.0,37.0,226,637.0,5.0,656,642.0,-14.0,0,0,,,,,,
2015,1,7,3,AA,196,N3CEAA,MIA,PHL,600,606.0,6.0,17.0,623.0,162.0,161.0,139.0,1013,842.0,5.0,842,847.0,5.0,0,0,,,,,,
2015,1,8,4,AA,2400,N3GAAA,LAX,DFW,5,3.0,-2.0,11.0,14.0,169.0,167.0,151.0,1235,445.0,5.0,454,450.0,-4.0,0,0,,,,,,
2015,1,8,4,US,2020,N544UW,PHX,CLT,15,12.0,-3.0,13.0,25.0,225.0,214.0,197.0,1773,542.0,4.0,600,546.0,-14.0,0,0,,,,,,
2015,1,8,4,AS,135,N527AS,SEA,ANC,25,19.0,-6.0,24.0,43.0,235.0,221.0,193.0,1448,256.0,4.0,320,300.0,-20.0,0,0,,,,,,
2015,1,8,4,NK,612,N635NK,LAS,MSP,25,45.0,20.0,9.0,54.0,181.0,162.0,147.0,1299,521.0,6.0,526,527.0,1.0,0,0,,,,,,
2015,1,8,4,US,448,N568UW,SLC,CLT,30,24.0,-6.0,34.0,58.0,225.0,261.0,190.0,1727,608.0,37.0,615,645.0,30.0,0,0,,30.0,0.0,0.0,0.0,0.0
2015,1,8,4,AA,1112,N3JDAA,SFO,DFW,30,29.0,-1.0,19.0,48.0,189.0,202.0,178.0,1464,546.0,5.0,539,551.0,12.0,0,0,,,,,,
2015,1,8,4,HA,102,N485HA,HNL,ITO,500,455.0,-5.0,9.0,504.0,49.0,50.0,35.0,216,539.0,6.0,549,545.0,-4.0,0,0,,,,,,
2015,1,8,4,US,1982,N626AW,DFW,CLT,505,459.0,-6.0,18.0,517.0,143.0,147.0,119.0,936,816.0,10.0,828,826.0,-2.0,0,0,,,,,,
2015,1,8,4,US,1801,N715UW,IAH,CLT,515,510.0,-5.0,14.0,524.0,139.0,141.0,119.0,912,823.0,8.0,834,831.0,-3.0,0,0,,,,,,
2015,1,8,4,US,1837,N806AW,BWI,CLT,515,514.0,-1.0,14.0,528.0,89.0,84.0,59.0,361,627.0,11.0,644,638.0,-6.0,0,0,,,,,,
2015,1,8,4,WN,23,N781WN,MDW,DCA,535,533.0,-2.0,18.0,551.0,110.0,104.0,80.0,601,811.0,6.0,825,817.0,-8.0,0,0,,,,,,
2015,1,8,4,WN,2513,N8325D,MHT,BWI,545,543.0,-2.0,8.0,551.0,115.0,81.0,69.0,377,700.0,4.0,740,704.0,-36.0,0,0,,,,,,
2015,1,8,4,AA,2299,N3EUAA,JFK,MIA,545,547.0,2.0,21.0,608.0,189.0,227.0,157.0,1089,845.0,49.0,854,934.0,40.0,0,0,,40.0,0.0,0.0,0.0,0.0
2015,1,8,4,US,658,N573UW,ATL,CLT,550,546.0,-4.0,15.0,601.0,66.0,66.0,41.0,226,642.0,10.0,656,652.0,-4.0,0,0,,,,,,
2015,1,8,4,AA,196,N3FMAA,MIA,PHL,600,555.0,-5.0,8.0,603.0,162.0,155.0,142.0,1013,825.0,5.0,842,830.0,-12.0,0,0,,,,,,
2015,1,9,5,AA,2400,N3BAAA,LAX,DFW,5,14.0,9.0,17.0,31.0,169.0,179.0,155.0,1235,506.0,7.0,454,513.0,19.0,0,0,,10.0,0.0,0.0,9.0,0.0
2015,1,9,5,US,2020,N570UW,PHX,CLT,15,31.0,16.0,14.0,45.0,225.0,210.0,189.0,1773,554.0,7.0,600,601.0,1.0,0,0,,,,,,
2015,1,9,5,DL,806,N938DN,SFO,MSP,20,11.0,-9.0,20.0,31.0,220.0,212.0,189.0,1589,540.0,3.0,600,543.0,-17.0,0,0,,,,,,
2015,1,9,5,AS,135,N461AS,SEA,ANC,25,23.0,-2.0,15.0,38.0,235.0,187.0,168.0,1448,226.0,4.0,320,230.0,-50.0,0,0,,,,,,
2015,1,9,5,NK,612,N634NK,LAS,MSP,25,124.0,59.0,9.0,133.0,181.0,174.0,156.0,1299,609.0,9.0,526,618.0,52.0,0,0,,0.0,0.0,0.0,52.0,0.0
2015,1,9,5,US,448,N560UW,SLC,CLT,30,29.0,-1.0,14.0,43.0,225.0,206.0,183.0,1727,546.0,9.0,615,555.0,-20.0,0,0,,,,,,
2015,1,9,5,HA,102,N492HA,HNL,ITO,500,457.0,-3.0,15.0,512.0,49.0,62.0,41.0,216,553.0,6.0,549,559.0,10.0,0,0,,,,,,
2015,1,9,5,US,1982,N508AY,DFW,CLT,505,502.0,-3.0,11.0,513.0,143.0,132.0,111.0,936,804.0,10.0,828,814.0,-14.0,0,0,,,,,,
2015,1,9,5,US,1801,N821AW,IAH,CLT,515,505.0,-10.0,16.0,521.0,139.0,158.0,127.0,912,828.0,15.0,834,843.0,9.0,0,0,,,,,,
2015,1,9,5,US,1837,N803AW,BWI,CLT,515,514.0,-1.0,24.0,538.0,89.0,93.0,64.0,361,642.0,5.0,644,647.0,3.0,0,0,,,,,,
2015,1,9,5,WN,23,N914WN,MDW,DCA,535,552.0,17.0,17.0,609.0,110.0,98.0,76.0,601,825.0,5.0,825,830.0,5.0,0,0,,,,,,
2015,1,9,5,WN,2513,N7721E,MHT,BWI,545,704.0,79.0,29.0,733.0,115.0,120.0,86.0,377,859.0,5.0,740,904.0,84.0,0,0,,5.0,0.0,79.0,0.0,0.0
2015,1,9,5,AA,2299,N3EPAA,JFK,MIA,545,545.0,0.0,16.0,601.0,189.0,198.0,170.0,1089,851.0,12.0,854,903.0,9.0,0,0,,,,,,
2015,1,9,5,US,658,N556UW,ATL,CLT,550,544.0,-6.0,19.0,603.0,66.0,72.0,43.0,226,646.0,10.0,656,656.0,0.0,0,0,,,,,,
2015,1,9,5,UA,1419,N37255,MIA,EWR,600,601.0,1.0,18.0,619.0,178.0,186.0,151.0,1085,850.0,17.0,858,907.0,9.0,0,0,,,,,,
2015,1,10,6,AA,2400,N3FAAA,LAX,DFW,5,2.0,-3.0,17.0,19.0,169.0,172.0,151.0,1235,450.0,4.0,454,454.0,0.0,0,0,,,,,,
2015,1,10,6,US,2020,N566UW,PHX,CLT,15,15.0,0.0,12.0,27.0,225.0,220.0,198.0,1773,545.0,10.0,600,555.0,-5.0,0,0,,,,,,
2015,1,10,6,DL,806,N926DH,SFO,MSP,20,13.0,-7.0,20.0,33.0,218.0,207.0,183.0,1589,536.0,4.0,558,540.0,-18.0,0,0,,,,,,
2015,1,10,6,AS,135,N423AS,SEA,ANC,25,45.0,20.0,9.0,54.0,235.0,202.0,188.0,1448,302.0,5.0,320,307.0,-13.0,0,0,,,,,,
2015,1,10,6,NK,612,N612NK,LAS,MSP,25,29.0,4.0,9.0,38.0,181.0,171.0,155.0,1299,513.0,7.0,526,520.0,-6.0,0,0,,,,,,
2015,1,10,6,US,448,N198UW,SLC,CLT,30,30.0,0.0,25.0,55.0,225.0,228.0,196.0,1727,611.0,7.0,615,618.0,3.0,0,0,,,,,,
2015,1,10,6,HA,102,N484HA,HNL,ITO,500,453.0,-7.0,9.0,502.0,49.0,45.0,31.0,216,533.0,5.0,549,538.0,-11.0,0,0,,,,,,
2015,1,10,6,US,1946,N169UW,DFW,CLT,505,454.0,-11.0,12.0,506.0,143.0,142.0,119.0,936,805.0,11.0,828,816.0,-12.0,0,0,,,,,,
2015,1,10,6,US,819,N711UW,IAH,CLT,515,505.0,-10.0,12.0,517.0,139.0,133.0,116.0,912,813.0,5.0,834,818.0,-16.0,0,0,,,,,,
2015,1,10,6,US,1879,N750UW,BWI,CLT,515,514.0,-1.0,11.0,525.0,89.0,84.0,68.0,361,633.0,5.0,644,638.0,-6.0,0,0,,,,,,
