出发机场,到达机场,航班号,计划出发,计划到达,实际出发,实际到达,飞机号,是否取消,计划出发日期,计划到达日期,实际出发日期,实际到达日期,出发延迟,到达延迟,出发经度,出发纬度,到达经度,到达纬度,距离,平均温度,最高温度,最低温度,降水量,气压,风向,风速
XMN,PEK,MF8103,1453636800,1453647900,1453636920.0,1453645980.0,43.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,2.0,-32.0,118,24,116,40,835,5.3,6.9,3.8,0.0,1035.8,354.0,19.0
PVG,TAO,SC4604,1452957000,1452962700,1452959280.0,1452962700.0,44.0,正常,2016-01-16,2016-01-16,2016-01-16,2016-01-16,38.0,0.0,121,31,120,36,303,4.9,11.2,-1.4,11.0,1019.2,76.0,8.0
PVG,SYX,MU5325,1452325800,1452338400,1452327120.0,1452338400.0,45.0,正常,2016-01-09,2016-01-09,2016-01-09,2016-01-09,22.0,0.0,121,31,109,18,1460,4.3,9.5,-0.9,0.0,1027.1,90.0,5.0
SZX,PEK,ZH9821,1451982000,1451993100,1451984220.0,1451993100.0,51.0,正常,2016-01-05,2016-01-05,2016-01-05,2016-01-05,37.0,0.0,113,22,116,40,890,21.4,22.8,20.0,6.2,1016.1,0.0,5.0
NKG,PEK,CA1848,1453614600,1453621800,1453615500.0,1453621380.0,52.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,15.0,-7.0,118,31,116,40,505,-7.2,-4.5,-9.8,0.0,1043.3,280.0,14.0
KWL,TNA,SC1200,1453020000,1453027800,1453021200.0,1453028520.0,59.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,20.0,12.0,110,25,116,36,818,11.2,13.7,8.6,0.0,1019.5,12.0,10.0
FOC,NKG,FU6575,1453246500,1453251600,1453247400.0,1453251960.0,63.0,正常,2016-01-19,2016-01-20,2016-01-19,2016-01-20,15.0,6.0,119,26,118,31,287,10.9,12.5,9.4,,1027.1,65.0,9.0
WUH,KMG,8L9958,1453175700,1453184100,1453176300.0,1453184220.0,65.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,10.0,2.0,114,30,102,24,1348,4.0,7.4,0.7,0.0,1028.5,59.0,8.0
SZX,SHE,DZ6267,1453961400,1453975200,1453963260.0,1453973640.0,17.0,正常,2016-01-28,2016-01-28,2016-01-28,2016-01-28,31.0,-26.0,113,22,123,41,1477,14.7,16.5,12.9,102.8,1017.8,360.0,5.0
CGO,SZX,ZH9808,1453366200,1453375500,1453366200.0,1453374000.0,69.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,0.0,-25.0,113,34,113,22,520,0.8,5.7,-4.0,0.0,1031.8,127.0,8.0
HET,CTU,DR6540,1452684600,1452693000,1452685020.0,1452693060.0,70.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,7.0,1.0,111,40,104,30,844,-16.4,-10.9,-21.8,0.0,1035.4,323.0,6.0
CKG,SZX,ZH991T,1453604100,1453611300,1453642620.0,1453648860.0,71.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,642.0,626.0,106,29,113,22,819,3.4,5.9,0.8,0.0,1044.2,320.0,6.0
SZX,PVG,MU5358,1453381200,1453389900,1453385100.0,1453390680.0,75.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,65.0,13.0,113,22,121,31,996,15.1,15.9,14.3,,1018.3,9.0,8.0
SZX,CKG,OQ2336,1452341400,1452349800,1452343500.0,1452349920.0,78.0,正常,2016-01-09,2016-01-09,2016-01-09,2016-01-09,35.0,2.0,113,22,106,29,819,17.6,20.3,15.0,0.0,1020.2,60.0,5.0
TAO,PEK,MU536,1452849300,1452855000,1452849660.0,1452854340.0,84.0,正常,2016-01-15,2016-01-15,2016-01-15,2016-01-15,6.0,-11.0,120,36,116,40,491,2.4,6.0,-1.3,0.0,1019.6,210.0,6.0
SZX,CTU,CZ3457,1453679400,1453689300,1453680840.0,1453688460.0,85.0,正常,2016-01-24,2016-01-25,2016-01-25,2016-01-25,24.0,-14.0,113,22,104,30,1037,3.5,5.3,1.7,3.1,1036.0,8.0,11.0
XMN,SHA,9C8838,1453273500,1453279500,1453274220.0,1453278540.0,90.0,正常,2016-01-20,2016-01-20,2016-01-20,2016-01-20,12.0,-16.0,118,24,121,31,507,10.2,11.0,9.3,12.4,1022.9,33.0,9.0
SHE,CGO,ZH9437,1451698500,1451708700,1451699340.0,1451707140.0,99.0,正常,2016-01-02,2016-01-02,2016-01-02,2016-01-02,14.0,-26.0,123,41,113,34,1168,-4.1,-1.0,-7.2,0.0,1022.5,2.0,5.0
HGH,PEK,CA1510,1451617800,1451625900,1451619180.0,1451625600.0,104.0,正常,2016-01-01,2016-01-01,2016-01-01,2016-01-01,23.0,-5.0,120,30,116,40,684,7.2,13.0,1.4,0.0,1028.6,195.0,6.0
CTU,SHA,HO1120,1451885700,1451895900,1451885880.0,1451893920.0,109.0,正常,2016-01-04,2016-01-04,2016-01-04,2016-01-04,3.0,-33.0,104,30,121,31,1890,12.3,14.7,10.0,0.0,1020.7,272.0,5.0
SYX,PVG,CZ6781,1452243300,1452254100,1452244500.0,1452254340.0,112.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,20.0,4.0,109,18,121,31,1460,20.5,22.2,18.8,0.0,1018.1,53.0,25.0
KMG,SHA,HO1092,1451638500,1451649600,1451639220.0,1451648220.0,114.0,正常,2016-01-01,2016-01-01,2016-01-01,2016-01-01,12.0,-23.0,102,24,121,31,2128,10.7,13.0,8.4,11.9,,160.0,4.0
PEK,HGH,CA1704,1453089000,1453096500,1453089660.0,1453095420.0,116.0,正常,2016-01-18,2016-01-18,2016-01-18,2016-01-18,11.0,-18.0,116,40,120,30,684,-8.2,-4.7,-11.6,0.0,1029.0,11.0,9.0
CKG,URC,HU7378,1452945300,1452959700,1452947880.0,1452961260.0,117.0,正常,2016-01-16,2016-01-16,2016-01-16,2016-01-16,43.0,26.0,106,29,88,43,1995,10.2,11.0,9.3,,1017.1,286.0,5.0
NKG,HRB,AQ1039,1453100700,1453111200,1453101360.0,1453109820.0,120.0,正常,2016-01-18,2016-01-18,2016-01-18,2016-01-18,11.0,-23.0,118,31,126,45,1208,1.4,3.3,-0.6,0.0,1028.3,5.0,6.0
SHA,FOC,MU5507,1451689500,1451695500,1451690280.0,1451694600.0,122.0,正常,2016-01-01,2016-01-02,2016-01-01,2016-01-02,13.0,-15.0,121,31,119,26,355,6.2,13.2,-0.9,0.0,1029.0,163.0,7.0
SHE,SZX,ZH9828,1453523400,1453539600,1453523520.0,1453538340.0,123.0,正常,2016-01-23,2016-01-23,2016-01-23,2016-01-23,2.0,-21.0,123,41,113,22,1477,-20.5,-17.6,-23.4,0.0,1036.8,237.0,8.0
KMG,PVG,8L9889,1453281300,1453291800,1453290000.0,1453297860.0,125.0,正常,2016-01-20,2016-01-20,2016-01-20,2016-01-20,145.0,101.0,102,24,121,31,2128,12.6,18.6,6.5,0.0,,227.0,14.0
XMN,CKG,MF8473,1453786200,1453796100,1453789260.0,1453798680.0,127.0,正常,2016-01-26,2016-01-26,2016-01-26,2016-01-26,51.0,43.0,118,24,106,29,1349,8.4,13.9,2.9,,1028.1,333.0,7.0
FOC,SJW,9C8786,1451819400,1451829900,1451824860.0,1451832720.0,135.0,正常,2016-01-03,2016-01-03,2016-01-03,2016-01-03,91.0,47.0,119,26,114,38,812,16.9,20.6,13.3,0.0,1020.9,209.0,5.0
CKG,NKG,ZH9167,1453851000,1453858200,1453851540.0,1453856940.0,139.0,正常,2016-01-26,2016-01-27,2016-01-26,2016-01-27,9.0,-21.0,106,29,118,31,1336,5.0,6.5,3.4,0.0,1026.9,314.0,3.0
FOC,PEK,SC4938,1453385700,1453395900,1453386000.0,1453395240.0,140.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,5.0,-11.0,119,26,116,40,790,8.7,11.0,6.4,7.8,1022.6,315.0,5.0
CTU,PEK,HU7148,1451966100,1451975400,1451966820.0,1451974380.0,141.0,正常,2016-01-05,2016-01-05,2016-01-05,2016-01-05,12.0,-17.0,104,30,116,40,1382,11.2,14.8,7.6,,1019.9,44.0,4.0
XMN,TNA,MU5564,1453521600,1453529700,1453522740.0,1453530600.0,68.0,正常,2016-01-23,2016-01-23,2016-01-23,2016-01-23,19.0,15.0,118,24,116,36,644,8.6,10.4,6.8,0.8,1030.2,350.0,16.0
PEK,SZX,ZH9889,1451866200,1451878500,1451868960.0,1451881380.0,154.0,正常,2016-01-04,2016-01-04,2016-01-04,2016-01-04,46.0,48.0,116,40,113,22,890,-1.1,2.4,-4.6,0.0,1030.9,9.0,13.0
SZX,CKG,OQ2336,1453464600,1453473000,1453464840.0,1453471620.0,157.0,正常,2016-01-22,2016-01-22,2016-01-22,2016-01-22,4.0,-23.0,113,22,106,29,819,11.2,13.0,9.3,3.5,1021.7,360.0,10.0
CTU,SZX,CA4325,1452907800,1452916500,1452908580.0,1452915900.0,160.0,正常,2016-01-16,2016-01-16,2016-01-16,2016-01-16,13.0,-10.0,104,30,113,22,1037,10.2,11.0,9.3,,1017.1,286.0,5.0
SZX,PEK,HU7702,1451827500,1451838900,1451830260.0,1451839980.0,170.0,正常,2016-01-03,2016-01-03,2016-01-03,2016-01-03,46.0,18.0,113,22,116,40,890,18.9,20.0,17.8,3.7,1019.5,44.0,3.0
CGO,URC,MF8277,1453947600,1453965000,1453947480.0,1453976580.0,171.0,正常,2016-01-28,2016-01-28,2016-01-28,2016-01-28,-2.0,193.0,113,34,88,43,2777,5.0,8.3,1.6,0.0,1027.9,69.0,6.0
SHA,XMN,MU5565,1452228000,1452234300,1452230040.0,1452235320.0,174.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,34.0,17.0,121,31,118,24,507,5.2,7.0,3.3,0.0,1028.6,305.0,7.0
HGH,CKG,OQ2380,1453606500,1453616400,,1453607040.0,176.0,正常,2016-01-24,2016-01-24,NaT,2016-01-24,,-156.0,120,30,106,29,1557,-4.8,-3.1,-6.4,0.0,1042.7,298.0,16.0
NKG,XMN,NS3225,1453170900,1453177200,1453171800.0,1453177200.0,177.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,15.0,0.0,118,31,118,24,365,-0.5,4.2,-5.1,0.0,1032.5,95.0,9.0
HFE,CTU,CA4522,1452854400,1452863700,1452854760.0,1452862440.0,182.0,正常,2016-01-15,2016-01-15,2016-01-15,2016-01-15,6.0,-21.0,117,31,104,30,1446,4.3,11.6,-3.0,0.0,1020.4,152.0,6.0
SYX,CGO,HU7823,1453167300,1453178100,1453167420.0,1453177020.0,189.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,2.0,-18.0,109,18,113,34,773,19.4,21.9,17.0,8.9,1015.4,38.0,36.0
TAO,XMN,MF8050,1452240900,1452251100,1452243840.0,1452252240.0,196.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,49.0,19.0,120,36,118,24,682,-0.3,2.2,-2.9,0.0,1027.8,347.0,13.0
CTU,SHA,TV9865,1453178700,1453188600,1453179060.0,1453187820.0,202.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,6.0,-13.0,104,30,121,31,1890,10.3,11.1,9.5,0.1,1019.3,352.0,5.0
PEK,CTU,CZ6135,1452761700,1452773400,1452768600.0,1452777420.0,203.0,正常,2016-01-14,2016-01-14,2016-01-14,2016-01-14,115.0,67.0,116,40,104,30,1382,-1.7,4.9,-8.3,0.0,1019.9,218.0,4.0
XMN,SHA,MF8521,1451795400,1451801400,1451796180.0,1451800680.0,208.0,正常,2016-01-03,2016-01-03,2016-01-03,2016-01-03,13.0,-12.0,118,24,121,31,507,16.4,17.9,15.0,1.2,1020.7,289.0,5.0
CTU,SHA,TV9865,1451796300,1451806200,1451796840.0,1451805060.0,202.0,正常,2016-01-03,2016-01-03,2016-01-03,2016-01-03,9.0,-19.0,104,30,121,31,1890,8.6,10.7,6.5,,1020.5,233.0,5.0
SHE,NKG,CZ6165,1453601700,1453610100,1453601700.0,1453608060.0,212.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,0.0,-34.0,123,41,118,31,790,-18.3,-11.8,-24.8,0.0,1030.6,203.0,5.0
SHA,URC,FM9219,1453179300,1453200000,1453180020.0,1453199820.0,214.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,12.0,-3.0,121,31,88,43,3664,0.9,3.5,-1.7,0.0,1032.7,334.0,8.0
TYN,WUH,MU5399,1452644700,1452650700,1452645540.0,1452651780.0,220.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,14.0,18.0,112,37,114,30,376,-7.2,1.6,-15.9,0.0,1029.9,222.0,8.0
CKG,FOC,MF8446,1452665100,1452672900,1452664800.0,1452672660.0,222.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,-5.0,-4.0,106,29,119,26,1450,10.2,11.2,9.1,1.1,1022.6,19.0,5.0
SYX,PEK,CZ6711,1451955600,1451969100,1451956020.0,1451967960.0,225.0,正常,2016-01-05,2016-01-05,2016-01-05,2016-01-05,7.0,-19.0,109,18,116,40,1205,23.4,26.0,20.8,0.3,1015.9,198.0,12.0
SHA,CTU,MU5409,1451721600,1451734200,1451722860.0,1451733540.0,230.0,正常,2016-01-02,2016-01-02,2016-01-02,2016-01-02,21.0,-11.0,121,31,104,30,1890,12.9,17.3,8.5,1.8,1022.6,276.0,4.0
HGH,SZX,CZ6595,1453096500,1453104900,1453096800.0,1453103820.0,238.0,正常,2016-01-18,2016-01-18,2016-01-18,2016-01-18,5.0,-18.0,120,30,113,22,872,4.4,7.1,1.7,0.0,1026.9,346.0,11.0
SYX,CKG,PN6224,1452524700,1452533400,1452525420.0,1452533100.0,245.0,正常,2016-01-11,2016-01-11,2016-01-11,2016-01-11,12.0,-5.0,109,18,106,29,495,23.4,25.9,20.8,5.0,1014.9,135.0,11.0
SJW,SYX,JD5532,1453293600,1453307100,1453294500.0,1453307100.0,252.0,正常,2016-01-20,2016-01-20,2016-01-20,2016-01-20,15.0,0.0,114,38,109,18,979,-3.2,-0.5,-6.0,0.0,1033.5,352.0,4.0
CTU,SHA,MU5412,1452754800,1452765000,1452755460.0,1452763980.0,254.0,正常,2016-01-14,2016-01-14,2016-01-14,2016-01-14,11.0,-17.0,104,30,121,31,1890,8.9,10.0,7.9,0.2,1022.6,312.0,5.0
CTU,SZX,CA4329,1453001400,1453009800,1453001580.0,1453008420.0,258.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,3.0,-23.0,104,30,113,22,1037,10.9,14.4,7.5,0.0,1018.3,301.0,5.0
CGO,SZX,CZ3973,1452161400,1452170100,1452165660.0,1452173820.0,261.0,正常,2016-01-07,2016-01-07,2016-01-07,2016-01-07,71.0,62.0,113,34,113,22,520,0.7,4.0,-2.6,0.0,1030.5,127.0,5.0
HET,SHA,MU5460,1453618500,1453627800,1453619220.0,1453626900.0,266.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,12.0,-15.0,111,40,121,31,1192,-21.0,-14.9,-27.1,0.0,1055.8,296.0,9.0
HRB,PEK,CA1612,1453204800,1453212900,1453205640.0,1453212120.0,269.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,14.0,-13.0,126,45,116,40,1147,-19.2,-16.2,-22.2,0.1,1029.4,273.0,9.0
FOC,PVG,MU5600,1453959000,1453964700,1453966560.0,1453972080.0,271.0,正常,2016-01-28,2016-01-28,2016-01-28,2016-01-28,126.0,123.0,119,26,121,31,355,11.1,12.8,9.4,47.0,1021.1,231.0,4.0
NKG,TYN,MU2136,1452220500,1452226800,1452221160.0,1452227340.0,274.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,11.0,9.0,118,31,112,37,723,3.0,7.4,-1.3,0.0,1028.5,42.0,4.0
KMG,SZX,CZ3452,1453725900,1453733700,1453728960.0,1453734480.0,283.0,正常,2016-01-25,2016-01-25,2016-01-25,2016-01-25,51.0,13.0,102,24,113,22,1224,-1.5,1.1,-4.1,0.0,,227.0,6.0
SZX,TAO,ZH9929,1452385800,1452397500,1452387060.0,1452396120.0,296.0,正常,2016-01-10,2016-01-10,2016-01-10,2016-01-10,21.0,-23.0,113,22,120,36,1038,18.1,19.6,16.5,35.3,1016.6,34.0,7.0
SZX,CKG,CA4346,1452952500,1452960900,1452952980.0,1452960060.0,297.0,正常,2016-01-16,2016-01-16,2016-01-16,2016-01-16,8.0,-14.0,113,22,106,29,819,15.5,17.8,13.2,10.5,1012.3,48.0,7.0
SYX,SJW,JD5531,1453945800,1453958400,1453946520.0,1453957020.0,299.0,正常,2016-01-28,2016-01-28,2016-01-28,2016-01-28,12.0,-23.0,109,18,114,38,979,18.3,20.4,16.2,0.9,1015.9,198.0,9.0
SHA,CKG,9C8897,1453160700,1453172400,1453161420.0,1453170540.0,304.0,正常,2016-01-18,2016-01-19,2016-01-18,2016-01-19,12.0,-31.0,121,31,106,29,1670,2.6,4.8,0.5,0.0,1026.9,283.0,11.0
TYN,NKG,MU2135,1452901500,1452908700,1452901620.0,1452906900.0,311.0,正常,2016-01-15,2016-01-16,2016-01-15,2016-01-16,2.0,-30.0,112,37,118,31,723,-4.7,4.5,-13.8,0.0,1020.2,93.0,4.0
PEK,NKG,MU2822,1451792400,1451799600,1451793360.0,1451798880.0,318.0,正常,2016-01-03,2016-01-03,2016-01-03,2016-01-03,16.0,-12.0,116,40,118,31,505,-0.2,3.2,-3.6,0.0,1025.2,306.0,6.0
NKG,KMG,3U8506,1452776700,1452787800,1452779640.0,1452789360.0,319.0,正常,2016-01-14,2016-01-14,2016-01-14,2016-01-14,49.0,26.0,118,31,102,24,1795,0.7,5.0,-3.6,0.0,1024.0,132.0,5.0
PVG,PEK,CA1884,1453364100,1453372800,1453365420.0,1453372260.0,321.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,22.0,-9.0,121,31,116,40,731,3.2,4.5,1.9,3.3,1029.5,27.0,12.0
HRB,PVG,9C8966,1453539300,1453550100,1453539960.0,1453549440.0,4.0,正常,2016-01-23,2016-01-23,2016-01-23,2016-01-23,11.0,-11.0,126,45,121,31,1020,-26.2,-21.1,-31.4,0.0,1032.1,249.0,9.0
URC,CTU,3U8842,1452261300,1452273000,1452262980.0,1452273540.0,328.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,28.0,9.0,88,43,104,30,1774,-10.0,-8.5,-11.5,,1031.6,127.0,5.0
CKG,TYN,MU2244,1453737300,1453744500,1453738620.0,1453743900.0,337.0,正常,2016-01-25,2016-01-25,2016-01-25,2016-01-25,22.0,-10.0,106,29,112,37,725,3.1,6.2,0.1,0.0,1034.3,322.0,5.0
WUH,KMG,CZ3542,1452861900,1452871200,1452869100.0,1452876720.0,340.0,正常,2016-01-15,2016-01-15,2016-01-15,2016-01-15,120.0,92.0,114,30,102,24,1348,3.8,10.1,-2.6,0.0,1020.0,228.0,4.0
KWL,PEK,CZ3281,1453682400,1453692600,1453682160.0,1453691100.0,342.0,正常,2016-01-25,2016-01-25,2016-01-25,2016-01-25,-4.0,-25.0,110,25,116,40,927,5.3,9.4,1.2,0.0,1034.4,12.0,9.0
SHA,SZX,9C8917,1453590900,1453600800,1453592340.0,1453600680.0,344.0,正常,2016-01-23,2016-01-24,2016-01-23,2016-01-24,24.0,-2.0,121,31,113,22,996,-1.4,1.4,-4.1,0.0,1039.3,294.0,21.0
SHA,CTU,MU5409,1452672000,1452684600,1452672780.0,1452683340.0,345.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,13.0,-21.0,121,31,104,30,1890,1.6,3.6,-0.3,0.0,1027.8,264.0,9.0
HFE,PVG,MU5464,1452663000,1452666600,1452663660.0,1452666960.0,349.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,11.0,6.0,117,31,121,31,444,2.5,4.7,0.3,0.0,1028.0,242.0,5.0
PEK,KMG,MU2573,1452993000,1453005900,1452994740.0,1453006620.0,351.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,29.0,12.0,116,40,102,24,1647,-5.0,-3.1,-7.0,0.0,1026.9,352.0,12.0
XMN,WUH,MU2194,1452597900,1452604200,1452598620.0,1452604260.0,357.0,正常,2016-01-12,2016-01-12,2016-01-12,2016-01-12,12.0,1.0,118,24,114,30,531,14.1,16.1,12.0,0.0,1022.1,57.0,10.0
SHA,PEK,CA1532,1453442100,1453450500,1453442940.0,1453449720.0,358.0,正常,2016-01-22,2016-01-22,2016-01-22,2016-01-22,14.0,-13.0,121,31,116,40,731,3.5,5.1,2.0,5.7,1033.1,7.0,14.0
PEK,CTU,3U8886,1453619700,1453630800,1453621320.0,1453630500.0,361.0,正常,2016-01-24,2016-01-24,2016-01-24,2016-01-24,27.0,-5.0,116,40,104,30,1382,-9.5,-3.9,-15.1,0.0,1037.2,328.0,9.0
SYX,WUH,JD5147,1453026900,1453035300,1453028400.0,1453036320.0,34.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,25.0,17.0,109,18,114,30,737,22.5,23.5,21.5,0.2,1011.3,130.0,13.0
HGH,CKG,3U8821,1452469800,1452479400,1452469740.0,1452478200.0,369.0,正常,2016-01-10,2016-01-11,2016-01-10,2016-01-11,-1.0,-20.0,120,30,106,29,1557,7.6,9.0,6.2,12.6,1023.5,351.0,6.0
PEK,SZX,CA1305,1453804200,1453816200,1453805880.0,1453818420.0,371.0,正常,2016-01-26,2016-01-26,2016-01-26,2016-01-26,28.0,37.0,116,40,113,22,890,-2.1,2.8,-7.1,0.0,1028.5,270.0,9.0
HGH,PEK,HU7178,1453465800,1453473900,1453466880.0,1453473720.0,374.0,正常,2016-01-22,2016-01-22,2016-01-22,2016-01-22,18.0,-3.0,120,30,116,40,684,0.9,1.5,0.3,18.7,1033.3,342.0,13.0
TGO,HET,G52774,1453341900,1453348200,1453341780.0,1453347540.0,377.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,-2.0,-11.0,122,43,111,40,1231,-17.9,-11.1,-24.8,0.0,1039.0,323.0,7.0
PEK,HRB,MU2269,1452251400,1452258900,1452252540.0,1452257880.0,379.0,正常,2016-01-08,2016-01-08,2016-01-08,2016-01-08,19.0,-17.0,116,40,126,45,1147,-1.1,2.2,-4.4,0.0,1027.6,69.0,8.0
HGH,WUH,CZ3542,1452507600,1452513300,1452509760.0,1452514980.0,380.0,正常,2016-01-11,2016-01-11,2016-01-11,2016-01-11,36.0,28.0,120,30,114,30,667,7.0,8.6,5.5,9.2,1026.4,7.0,12.0
KMG,FOC,MU5588,1453881000,1453890600,1453881900.0,1453890600.0,385.0,正常,2016-01-27,2016-01-27,2016-01-27,2016-01-27,15.0,0.0,102,24,119,26,1891,6.8,11.7,2.0,1.1,,220.0,9.0
SHA,FOC,MF8548,1452855000,1452860400,1452857040.0,1452861780.0,391.0,正常,2016-01-15,2016-01-15,2016-01-15,2016-01-15,34.0,23.0,121,31,119,26,355,4.7,9.8,-0.4,0.0,1021.7,253.0,5.0
TNA,CKG,TV9900,1451982000,1451990700,1451982360.0,1451990340.0,401.0,正常,2016-01-05,2016-01-05,2016-01-05,2016-01-05,6.0,-6.0,116,36,106,29,1144,1.4,2.3,0.4,1.7,1029.5,39.0,6.0
PVG,FOC,MU5593,1453212000,1453218300,1453216560.0,1453220700.0,403.0,正常,2016-01-19,2016-01-19,2016-01-19,2016-01-19,76.0,40.0,121,31,119,26,355,0.9,3.5,-1.7,0.0,1032.7,334.0,8.0
KMG,TNA,8L9865,1452556200,1452567000,1452558480.0,1452568080.0,404.0,正常,2016-01-11,2016-01-12,2016-01-12,2016-01-12,38.0,18.0,102,24,116,36,1608,8.1,15.8,0.3,0.0,,203.0,8.0
URC,CTU,3U8842,1451915700,1451927400,1451917260.0,1451927640.0,415.0,正常,2016-01-04,2016-01-04,2016-01-04,2016-01-04,26.0,4.0,88,43,104,30,1774,-11.2,-9.0,-13.4,,1033.9,77.0,5.0
HFE,XMN,MU5597,1452512400,1452518400,1452513300.0,1452518760.0,349.0,正常,2016-01-11,2016-01-11,2016-01-11,2016-01-11,15.0,6.0,117,31,118,24,375,4.7,6.4,2.9,5.2,1029.0,42.0,9.0
CTU,SYX,TV9821,1452403200,1452411900,1452402960.0,1452410940.0,423.0,正常,2016-01-10,2016-01-10,2016-01-10,2016-01-10,-4.0,-16.0,104,30,109,18,670,9.6,10.6,8.6,0.2,1022.8,311.0,3.0
CKG,FOC,MF8412,1453370100,1453377900,1453371180.0,1453377660.0,425.0,正常,2016-01-21,2016-01-21,2016-01-21,2016-01-21,18.0,-4.0,106,29,119,26,1450,6.7,7.3,6.1,3.9,1023.1,353.0,6.0
